REDORAHN uses samples from the following list, found on freesound.org.
Thanks to all their authors!


Orchestra Hit A7-A6 by SieuAmThanh | License: Creative Commons 0
UFO_floating.wav by Petr2010 | License: Creative Commons 0
blaster alien.wav by tatianafeudal | License: Attribution 3.0
engine helicopter.wav by ainst | License: Creative Commons 0
MISC_Police_Siren_Wailer_Static_001.wav by conleec | License: Creative Commons 0
MISC_Police_Siren_Start_Away_001.wav by conleec | License: Creative Commons 0
Short Gunshot.wav by JohanDeecke | License: Attribution 3.0
lightrl.wav by inferno | License: Sampling+
earthquake3.wav by zatar | License: Creative Commons 0
Landmass / Earth Rumble by el-bee | License: Attribution 4.0
explosion_012.mp3 by deleted_user_5405837 | License: Attribution 3.0
Explosion by Iwiploppenisse | License: Attribution 4.0
Firecracker by SamsterBirdies | License: Creative Commons 0
Glass Shattering and Falling by 221Beimesche | License: Creative Commons 0
monster roar and eat.aif by kamracuc | License: Attribution 4.0
Dragon: Snarl, Roar + Attack by Breviceps | License: Creative Commons 0
Colossal growl.wav by Tmd17 | License: Creative Commons 0
Glass Smash, Bottle, C.wav by InspectorJ | License: Attribution 4.0
Car Crash by squareal | License: Creative Commons 0
Bridge Collapse.wav by Wdomino | License: Creative Commons 0
explosion_big_02.ogg by derplayer | License: Creative Commons 0
Step.wav by CGEffex | License: Attribution 4.0
Godzilla Stomp.wav by Cloud-10 | License: Creative Commons 0
Grenade Explosion SFX (medium-sized, meaty, realistic) by unfa | License: Creative Commons 0
explosion_01.wav by derplayer | License: Creative Commons 0
Explosion&Debris_Short_Stereo.wav by Nox_Sound | License: Creative Commons 0
explosion_07.ogg by derplayer | License: Creative Commons 0
Explosion.wav by cejordi84 | License: Creative Commons 0
screaming_male_weird.mp3 by GabrielaUPF | License: Attribution 3.0
scream.wav by marionagm90 | License: Attribution 3.0
Girl Screaming_05.wav by tomattka | License: Creative Commons 0
Scream 05 by adriancalzon | License: Attribution 3.0
Splat/Squish 3 by mrickey13 | License: Creative Commons 0
Bomb - Small by Zangrutz | License: Attribution 3.0
rotary phone by seth-m | License: Creative Commons 0
Cthulhu growl.wav by cylon8472 | License: Attribution 4.0
Dial Tone.wav by AnthonyRamirez | License: Creative Commons 0
Busy Tone.wav by AnthonyRamirez | License: Creative Commons 0
Key noises.wav by sKydran | License: Creative Commons 0
Foley_Phone_Old_PickUp_HangUp_Mono.wav by Nox_Sound | License: Creative Commons 0
Office Phone Ring  by visualasylum | License: Attribution 3.0
DMTF Phone Sounds.wav by DiArchangeli | License: Creative Commons 0
bullet shells falling on the floor by casadalenha | License: Attribution
Breaking Glass  by ngruber | License: Creative Commons 0
Breaking Glass 10.wav by CBJ_Student | License: Attribution
Bottle Smash.aif by MegaPenguin13 | License: Creative Commons 0
20081231.fire.02.wav by dobroide | License: Attribution
Fire Crackle and Flames 002 by FractalStudios | License: Creative Commons 0
Match strike by Bertsz | License: Creative Commons 0
Bush weed grass cut prune move by LampEight | License: Creative Commons 0
13_Fire in fireplace.wav by 16FThumaF | License: Creative Commons 0
Party Pack, Match, Ignite, 01-01.wav by InspectorJ | License: Attribution
Sword stab 3 by ihitokage | License: Creative Commons 0
rip_tear FLESH!!!!.wav by aust_paul | License: Creative Commons 0
goreSplat.wav by ThefitzyG | License: Creative Commons 0
Tearing paper by sphion | License: Creative Commons 0
slashkut.wav by Abyssmal | License: Creative Commons 0
Knife Stab Sound Effect.wav by abcmaxofficial | License: Creative Commons 0
Zombie Bite 1 by Slave2theLight | License: Attribution
rip_tear FLESH!!!!.wav by aust_paul | License: Creative Commons 0
Deep Cut / Slash / Gash by SypherZent | License: Creative Commons 0
Glass Shattering and Falling by 221Beimesche | License: Creative Commons 0
Foley bullet hit metal pipe.wav by martian | License: Creative Commons 0
swallow water.wav by anagar | License: Creative Commons 0
Clay Pottery Drop ’n’ Break by Kinoton | License: Creative Commons 0
Clay Jar Break by Clearwavsound | License: Attribution
Bridge Collapse.wav by Wdomino | License: Creative Commons 0
Grasshopper by straget | License: Creative Commons 0
Grasshopper by straget | License: Creative Commons 0
200822 Cicadas, buzzing insect heat bug, filtered, mono, PEC 9am.flac by TRP | License: Creative Commons 0
grasshopper_song.wav by reinsamba | License: Attribution
Bumblebee.wav by sinewave1kHz | License: Creative Commons 0
Cricket - Grillo by CarlosCAV | License: Creative Commons 0
grasshopper_song.wav by reinsamba | License: Attribution
Single rock hitting wood.wav by worthahep88 | License: Creative Commons 0
arrow_.hits_target.wav by cyoung510 | License: Creative Commons 0
stone on asphalp.WAV by snoezel | License: Creative Commons 0
Rocket Launch.flac by qubodup | License: Creative Commons 0
stomps robot walk.wav by ErikH2000 | License: Attribution
snarling Snake by florianreichelt | License: Creative Commons 0
Pterodactyl.wav by SuperZero326 | License: Sampling+
Dinosaur.wav by jamesrodavidson | License: Attribution
Robot walk by JarAxe | License: Attribution
Bottle Pop by jackyyang09 | License: Creative Commons 0
slime monster noises.wav by konstati | License: Creative Commons 0
Slime 12.wav by Archos | License: Creative Commons 0
Bubbles 001.wav by ristooooo1 | License: Creative Commons 0
Bubbling, Large, A.wav by InspectorJ | License: Attribution
01 Footsteps Sand.mp3 by Coral_Island_Studios | License: Attribution
Spinifex Wind #1 by kangaroovindaloo | License: Attribution
wet footsteps.wav by patchytherat | License: Creative Commons 0
Footsteps, Muddy, E.wav by InspectorJ | License: Attribution
Footsteps on Stone by Fission9 | License: Creative Commons 0
SlowStepsOnGrass03 by falcospizaetus | License: Creative Commons 0
Gravel walking.WAV by DDT197 | License: Creative Commons 0
Graham Cracker Steps by newagesoup | License: Creative Commons 0
concrete footsteps 2.wav by patchytherat | License: Creative Commons 0
Voice elephant.mp3 by vataaa | License: Creative Commons 0
Đại Bàng Con by SieuAmThanh | License: Creative Commons 0
3 águila.wav.wav by Julalvr | License: Creative Commons 0
Dog Growl - Beast / Creature by coldvet | License: Creative Commons 0
Gun Shots From a Distance (7) by FilmmakersManual | License: Creative Commons 0
Gun Shots From a Distance (23) by FilmmakersManual | License: Creative Commons 0
rcok falls 01.mp3 by SoundCollectah | License: Creative Commons 0
Glass Break by unfa | License: Creative Commons 0
Spiketrap.wav by Deathscyp | License: Creative Commons 0
Door_Locking_Unlocking_Twice.wav by vcspran | License: Creative Commons 0
Hotel room door unlocking by wlabarron | License: Creative Commons 0
Gun Shots From a Distance (8) by FilmmakersManual | License: Creative Commons 0
9mm pistol shot by michorvath | License: Creative Commons 0
Geiger Counter by deleted_user_2906614 | License: Creative Commons 0
Plucking an Elastic Band by dsebeste | License: Creative Commons 0
Page Turning.wav by SMuntsinger | License: Creative Commons 0
Steam Hiss.wav by jesabat | License: Attribution
Air Steam Various short 01 by 2imitk | License: Attribution
bow01.wav by Erdie | License: Attribution
shotgun sounds by lensflare8642 | License: Creative Commons 0
AR15 M4 Gun Hardware Magazine Movement Sounds by jackthemurray | License: Creative Commons 0
Dinosaur Roars and Growls.mp3 by GojiS.O.S. | License: Creative Commons 0
Monster Screech.wav by YuriNikolai | License: Attribution
Monster Screech.wav by thegoose09 | License: Creative Commons 0
monster bite by LucasDuff | License: Creative Commons 0
Goose passes.wav by straget | License: Attribution
spider squeek.aiff by benagain28 | License: Creative Commons 0
stomp01.wav by JanKoehl | License: Attribution
Monster Bite on Armor WAV by OGsoundFX | License: Attribution
werewolf attack 1 by Bernuy | License: Attribution
Angry Beast.wav by husky70 | License: Creative Commons 0
bird call at night by saphe | License: Attribution
Hooded crow.wav by straget | License: Creative Commons 0
Owl.WAV by inchadney | License: Attribution
Chicken Single Alarm Call by Rudmer_Rotteveel | License: Creative Commons 0
buzzingbeefirework1.wav by j1987 | License: Creative Commons 0
fuse2.wav by j1987 | License: Creative Commons 0
explosion_mid_fuse_1.wav by eardeer | License: Attribution
small explosion by bevibeldesign | License: Creative Commons 0
Sword Fight 1.MP3 by FunWithSound | License: Attribution
plate.wav by Closetwalrus | License: Creative Commons 0
glass-hit.flac by Craxic | License: Attribution
Door Knock by qubodup | License: Creative Commons 0
Hits on wood by Aiwha | License: Attribution
Thump by SamsterBirdies | License: Creative Commons 0
Thump.mp3 by sjnewton | License: Attribution
Single Rock Hitting wood 3.wav by worthahep88 | License: Creative Commons 0
Rubber Metal Wood Impact Collision Bang by qubodup | License: Creative Commons 0
Wood block hit by thomasjaunism | License: Creative Commons 0
Anvil Hit 2 by michorvath | License: Creative Commons 0
Metal Clang1.aif by timgormly | License: Attribution
LightRingingClang.mp3 by wilhellboy | License: Creative Commons 0
jf Pool Ball hit and pocket.wav by cmusounddesign | License: Attribution
Metal hit with metal bar resonance by jorickhoofd | License: Attribution
Shield Slam 2 by CTCollab | License: Attribution
rcok falls 02.mp3 by SoundCollectah | License: Creative Commons 0
Hitting Metel Object.wav by BuddyGuyTrask | License: Creative Commons 0
metal bang.mp3 by Link-Boy | License: Creative Commons 0
02SWORD03.aif by lostchocolatelab | License: Creative Commons 0
Sword Clash and  Slide.MP3 by FunWithSound | License: Attribution
Autumn wind and dry leaves.wav by Stek59 | License: Creative Commons 0
Bird Whistling, Single, Robin, A.wav by InspectorJ | License: Attribution
Frog Croak Ambient by Sojan | License: Creative Commons 0
Water, Pouring, A.wav by InspectorJ | License: Attribution
Bird Whistling, Robin, Single, 13.wav by InspectorJ | License: Attribution
Single Dog Bark by kwahmah_02 | License: Creative Commons 0
Two Barks.wav by Puniho | License: Attribution
Chicken Scream - Roar by Henlord | License: Creative Commons 0
Very angry cat by locontrario23 | License: Creative Commons 0
Steam Hiss.wav by jesabat | License: Attribution
catpuking.mp3 by NoiseCollector | License: Attribution
Water Click by Mafon2 | License: Creative Commons 0
Water Swirl, Small, 14.wav by InspectorJ | License: Attribution
Bubble Pop by Mafon2 | License: Creative Commons 0
dog_growling 1.wav by 15GPanskaBokstefflova_Nicola | License: Creative Commons 0
Hiss.flac by qubodup | License: Creative Commons 0
Lion Roar by qubodup | License: Attribution
african_lion.wav by soundbytez | License: Attribution
Oie 01.wav by Glaneur de sons | License: Attribution
Wet Splat by JustInvoke | License: Attribution
bangkok frog.wav by WIM | License: Attribution
sneezing the dog.wav by blukotek | License: Creative Commons 0
sneeze goat 01.wav by klankbeeld | License: Attribution
asthma.wav by Shopp | License: Sampling+
Spitting by tvlaudio | License: Creative Commons 0
Frog Croaking.wav by Benboncan | License: Attribution
Gargle Then Spit.wav by brlproductions | License: Creative Commons 0
Wind, Realistic, A.wav by InspectorJ | License: Attribution
Garden atmosphere in the city by michaelkoehler | License: Attribution
Landing in Lisbon.mp3 by mollymolata | License: Attribution
Fireball Cast 3 by LiamG_SFX | License: Attribution
Plane_Landing_02.wav by kgunessee | License: Attribution
Heavy_footstep_wood_3.wav by RonaldVanWonderen | License: Attribution
Counting Me Shillings.mp3 by husky70 | License: Creative Commons 0
Pickup_Gold_03.wav by LittleRobotSoundFactory | License: Attribution
SummerOpenFieldDusk.wav by kvgarlic | License: Creative Commons 0
Knife Stab.wav by Mixedupmoviestuff | License: Creative Commons 0
Page Turn - Please Turn Over (PTO) - paper_turn_over.wav by flag2 | License: Attribution
click.wav by satrebor | License: Creative Commons 0
Bubble Pop by elmasmalo1 | License: Attribution
Small Crowd Applause 1 by snakebarney | License: Creative Commons 0
BaseballHitAndCrowdCheer.mp3 by AmishRob | License: Attribution
fullwind.ogg by titi2 | License: Creative Commons 0
Computer Humming by Dnab55 | License: Creative Commons 0
building_collapse02_close.wav by onteca | License: Attribution
Breaking Glass  by ngruber | License: Creative Commons 0
Glass-Hit.wav by romulofs | License: Creative Commons 0
alarms.wav by guitarguy1985 | License: Creative Commons 0
Alarm1.mp3 by kwahmah_02 | License: Attribution
Another Crowd by unfa | License: Attribution
Seagulls-M.wav by DaveGould | License: Creative Commons 0
Ghost Whispers by Litruv | License: Creative Commons 0
8-bit Pickup.aif by timgormly | License: Attribution
genickbruch.wav by huluvu42 | License: Creative Commons 0
Jungle birds tweets in Kampot, Cambodia by caquet | License: Attribution
Door close undergroundtrain (One Shot) by julius_galla | License: Attribution
8-bit Jump.aif by timgormly | License: Attribution
8-bit Powerup1.aif by timgormly | License: Attribution
8-bit Bump.aif by timgormly | License: Attribution
8-bit Jump1.aif by timgormly | License: Attribution
8-bit Coin.aif by timgormly | License: Attribution
big wooden door open close.wav by Denis Chapon | License: Creative Commons 0
layeredgunshot.wav by steveygos93 | License: Attribution
Door - Close 03.wav by JarredGibb | License: Creative Commons 0
hotel_room_door_opening.wav by joedeshon | License: Attribution
elevator_stop.wav by simpsi | License: Attribution
elevator door open.aif by mredig | License: Attribution
Door Opening by Hitrison | License: Attribution
door.mp3 by kellyconidi | License: Creative Commons 0
Little sparrow singing and flying in the bush (Patagonia, Argentina) by felix.blume | License: Creative Commons 0
Beating wings.wav by juskiddink | License: Attribution
wings low.aiff by franchus | License: Attribution
Arrow.wav by JConti | License: Sampling+
bow02.wav by Erdie | License: Attribution
Huh? - Vocal by davdud101 | License: Creative Commons 0
Bullet_Impact_3 by toxicwafflezz | License: Attribution
Gravel Impacts and Falls.wav by lolamadeus | License: Creative Commons 0
Rubber Metal Wood Impact Collision Bang by qubodup | License: Creative Commons 0
Ricochet metal2.wav by CGEffex | License: Attribution
Ricochet wood3.wav by CGEffex | License: Attribution
Bullet_Impact_2 by toxicwafflezz | License: Attribution
MOV0024A.OGG by aneolus | License: Creative Commons 0
asthma.wav by Shopp | License: Sampling+
woman cough.wav by bowlingballout | License: Creative Commons 0
Breath_Woman.wav by audione | License: Creative Commons 0
c02 bubbles edit.wav by jasonmchl | License: Creative Commons 0
Fire Alarm by taurindb | License: Creative Commons 0
spooky wind 5.wav by nhaudio | License: Attribution
sea from the clifftop.WAV by inchadney | License: Attribution
EXT RED SEA.wav by vhlam | License: Creative Commons 0
desert_aviary02.wav by soundbytez | License: Attribution
Wind in a tree in the Mojave Desert (California, USA) by felix.blume | License: Creative Commons 0
Birds_flapping 1.wav by deleted_user_2104797 | License: Creative Commons 0
ComputerAtmoshere001 by mitchelk | License: Creative Commons 0
industrial2 by mitchelk | License: Creative Commons 0
Highway Bridge Railing Piezo 130222_00.flac by klankbeeld | License: Attribution
air vent.wav by Tomlija | License: Attribution
shot.wav by mastafx | License: Sampling+
Gun shot sound_01 by GregsMedia | License: Attribution
MiniGun Shooting (Awesome Sound) by Steelskull | License: Creative Commons 0
gun shot.aif by trip2000 | License: Creative Commons 0
gshot 03.mp3 by SoundCollectah | License: Creative Commons 0
industrial9 by mitchelk | License: Creative Commons 0
Alien Abduction loop001 by mitchelk | License: Creative Commons 0
Noise of a fountain lever by felipelnv | License: Attribution
highVoltage.wav by yasser | License: Creative Commons 0
Cathedral Glitch.wav by thatjeffcarter | License: Attribution
silenced pistol_bip.aif by Thomasweightman | License: Creative Commons 0
gunthing.mp3 by steveygos93 | License: Attribution
three shots and reload.wav by Ekokubza123 | License: Creative Commons 0
Gunshot w/ Cock by KakarottoPrime | License: Attribution
Rifle-223 cal (take 2) by knufds | License: Attribution
Gunshot001 by mitchelk | License: Creative Commons 0
Fireplace.wav by inchadney | License: Creative Commons 0
2006_04_16_water_and_frogs_colliure.wav by Bram | License: Attribution
MEN RUNNING, WATER SPLASH (2).wav by deleted_user_133379 | License: Attribution
Footsteps-Step_Ladder-Metal-02.wav by DWOBoyle | License: Attribution
Wind.wav by Cyril Laurier | License: Attribution
20060824.forest03.wav by dobroide | License: Attribution
wind1.wav by Anton | License: Attribution
wind.ogg by Black Boe | License: Creative Commons 0
swosh-22.flac by qubodup | License: Creative Commons 0
Water_Splash_Objects_falling.aif by Dynamicell | License: Attribution
bush4.wav by schademans | License: Attribution
Lava loop.wav by Audionautics | License: Attribution
TokyoStreetAtNight_120.wav by markystar | License: Creative Commons 0
buzzer.wav by guitarguy1985 | License: Creative Commons 0
Incoming Ricochets 2.wav by rakurka | License: Attribution
bad explosion by deleted_user_364925 | License: Creative Commons 0
Reload.mp3 by LAGtheNoggin | License: Sampling+
Till With Bell.wav by Benboncan | License: Attribution
wilhelm.wav by SweetNeo85 | License: Sampling+
stream2.wav by mystiscool | License: Attribution
spark(fm_tri-90_sin-110).wav by FreqMan | License: Attribution
Fluorescent Lightbulb Hum.aif by ftpalad | License: Creative Commons 0
flys-I.wav by galeku | License: Creative Commons 0
STE-017-ceilingfan.mp3 by xinaesthete | License: Attribution
what do robots dream about?.aif by Tomlija | License: Attribution
elevator_motor.wav by pempi | License: Attribution
Mechanical1.wav by BMacZero | License: Creative Commons 0
Metal Atmosphere 005.wav by deleted_user_103319 | License: Attribution
TrashCompactor.wav by paradigmsomehow | License: Creative Commons 0
Machine room 001.wav by cydon | License: Attribution
bat hitting.wav by mzoern1 | License: Sampling+
ship_creak.mp3 by Walter_Odington | License: Creative Commons 0
bamboo_wind_chimes_1.wav by jppi_Stu | License: Attribution
20080421.docks.flac by dobroide | License: Attribution
avalanche.wav by mystiscool | License: Attribution
Rockslide 2.wav by juskiddink | License: Attribution
WoohooOoohhhh.wav by daveincamas | License: Attribution
fx379.wav by FreqMan | License: Attribution
fx376.wav by FreqMan | License: Attribution
t-clap.wav by FreqMan | License: Attribution
chronosphere-ish.wav by FreqMan | License: Attribution
CeleryBite2.wav by zimbot | License: Attribution
steps in snow.wav by dreamoutloud | License: Sampling+
walking in snow 2.flac by tim.kahn | License: Attribution
Carrion Crows.wav by Benboncan | License: Attribution
dinosaur1.wav by reinsamba | License: Attribution
inhuman screech.wav by Wolfsinger | License: Attribution
Creatures.wav by digifishmusic | License: Attribution
waterfall.wav by reinsamba | License: Attribution
Forest Ambience Danish.wav by gim-audio | License: Attribution
AMBIENT LOOP - Perfectly Clear - Wilderness Hillside - FILTERED.mp3 by Arctura | License: Attribution
evening in the forest.wav by reinsamba | License: Attribution
oceanwavescrushing.wav by Luftrum | License: Attribution
weapAppear.wav by RunnerPack | License: Attribution
shotgun.wav by hiramjustus | License: Creative Commons 0
Coachgun_Fire2_dv.wav by PhreaKsAccount | License: Attribution
Fire_Swish_Monster_Truck.aif by Dynamicell | License: Attribution
Loop 2.mp3 by deleted_user_103319 | License: Attribution
spacedrone3.wav by Elektrocell | License: Creative Commons 0
Reaktor Core.aif by modesitt | License: Sampling+
bad field drone.wav by patchen | License: Attribution
spacedrone1.wav by Elektrocell | License: Creative Commons 0
steam_burst.wav by pengo_au | License: Creative Commons 0
Body fall in grass CLOSE.mp3 by J.Zazvurek | License: Attribution
neck_crack_pure.aif by Halleck | License: Attribution
Splattt.mp3 by SlykMrByches | License: Creative Commons 0
dagger1.flac by Halleck | License: Attribution
whip,slap,belt,punch.wav by scarbelly25 | License: Creative Commons 0
hhh7.mp3 by harri | License: Attribution
slashkut.wav by Abyssmal | License: Creative Commons 0
desert_eagle2.wav by gezortenplotz | License: Attribution
Hey You.wav by Benboncan | License: Attribution
silenced gun.wav by pauliep83 | License: Sampling+
male-fight08.ogg by Erdie | License: Attribution
growl1.wav by ubecareful | License: Creative Commons 0
weirdbreath.wav by Wolfsinger | License: Attribution
monster_growl_01.wav by aesqe | License: Attribution
An alien taking a drink.wav by Wrylytucker | License: Attribution
Wind.wav by daveincamas | License: Attribution
low wind.wav by cmusounddesign | License: Attribution
Typewriter.wav by ddohler | License: Attribution
Pistol or Hand Gun Firing at wood.wav by Rock Savage | License: Sampling+
UK_PARK_ATMOS_DAY.wav by mr chips | License: Sampling+
Step 2.wav by carrigsound | License: Creative Commons 0
Step 4.wav by carrigsound | License: Creative Commons 0
Step 6.wav by carrigsound | License: Creative Commons 0
dorm door close.wav by pagancow | License: Creative Commons 0
dorm door opening.wav by pagancow | License: Creative Commons 0
Western Shot Modern 3.wav by Rock Savage | License: Sampling+
Western Shot Modern 1.wav by Rock Savage | License: Sampling+
Western Shot Modern 2.wav by Rock Savage | License: Sampling+
flobert2_20070728.wav by Nonoo | License: Attribution
flobert1_20070728.wav by Nonoo | License: Attribution
cocking__20070728.wav by Nonoo | License: Attribution
DSPISTOL2.wav by wildweasel | License: Attribution
Gun-Pistol(one shot).wav by Shades | License: Sampling+
Boom.wav by deleted_user_103319 | License: Attribution
smash0.mp3 by themfish | License: Attribution
DSAK47.wav by wildweasel | License: Attribution
synthetic_gunshot_2.wav by smcameron | License: Attribution
GUNSHOT.WAV by erkanozan | License: Creative Commons 0
submachinegun.wav by LS | License: Attribution
glock_loading.wav by kante | License: Attribution
glock_one_shot.wav by kante | License: Attribution
